,State,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Percent of adults with a high school diploma only, 1970","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing four years of college or higher, 1970","Percent of adults with a high school diploma only, 1980","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing four years of college or higher, 1980","Percent of adults with a high school diploma only, 1990","Percent of adults completing some college or associate's degree, 1990","Percent of adults with a bachelor's degree or higher, 1990","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Percent of adults with a high school diploma only, 2010-2014","Percent of adults completing some college or associate's degree, 2010-2014","Percent of adults with a bachelor's degree or higher, 2010-2014",Economic_typology_2015,POP_ESTIMATE_2014,R_birth_2014,R_death_2014,R_INTERNATIONAL_MIG_2014,R_DOMESTIC_MIG_2014,Civilian_labor_force_2014,Unemployment_rate_2014,Median_Household_Income_2014,PCTPOVALL_2014
695,IN,8.0,4.0,0.249,0.049,0.036000000000000004,0.365,0.071,0.055999999999999994,0.375,0.163,0.057,0.452,0.17,0.084,0.4807219031993437,0.2358490566037736,0.10691823899371071,0.0,10627,0.010842407957,0.010182435299,0.0,0.0033941450997000003,4893.0,0.076,40657.0,0.18
701,IN,5.0,8.0,0.307,0.05,0.049,0.401,0.08,0.102,0.444,0.16899999999999998,0.109,0.444,0.213,0.145,0.4058446087320407,0.2808969172827452,0.17924396708048548,3.0,42364,0.012514905725,0.009752181253599999,0.0012042645131999999,-0.002975241738,22047.0,0.040999999999999995,53211.0,0.08
2321,SC,3.0,2.0,0.19899999999999998,0.078,0.078,0.26899999999999996,0.126,0.12,0.301,0.19399999999999998,0.14800000000000002,0.309,0.235,0.187,0.33472091030907447,0.28271423236605675,0.21492432396810407,0.0,138988,0.012544001385,0.01023573201,0.000425587166,0.0025607363378999997,64683.0,0.07200000000000001,42232.0,0.195
3107,WY,7.0,9.0,0.35100000000000003,0.139,0.086,0.361,0.203,0.135,0.332,0.28800000000000003,0.145,0.33399999999999996,0.327,0.18600000000000003,0.3073975518893029,0.3748802554550293,0.21511442256519428,0.0,13509,0.011597842949,0.010194282337,0.0012558173893999999,-0.007017803057999999,7153.0,0.036000000000000004,45721.0,0.14300000000000002
2132,OK,3.0,2.0,0.297,0.079,0.043,0.32899999999999996,0.141,0.084,0.354,0.185,0.08900000000000001,0.392,0.237,0.14,0.4140401146131804,0.27005730659025784,0.1602196752626552,1.0,6127,0.013043123827999999,0.015325670497999998,0.0001630390479,-0.000815195239,2848.0,0.046,41469.0,0.17800000000000002
3048,WI,9.0,12.0,0.301,0.059000000000000004,0.035,0.384,0.107,0.08,0.38799999999999996,0.177,0.076,0.42700000000000005,0.258,0.1,0.4085132445261063,0.31281580156178235,0.14193844740468534,5.0,9131,0.012492466166,0.0099720563257,0.0003287491096,-0.000767081256,4029.0,0.087,41418.0,0.17
233,CO,7.0,11.0,0.297,0.12300000000000001,0.17800000000000002,0.319,0.184,0.20600000000000002,0.276,0.253,0.24100000000000002,0.271,0.28600000000000003,0.27,0.26004069829709764,0.3441148120381279,0.24140516225768446,4.0,16318,0.014608396759000001,0.0065676405598,0.0010434569114,-0.005340044193,7548.0,0.07200000000000001,38140.0,0.225
1287,MI,7.0,9.0,0.267,0.066,0.063,0.37799999999999995,0.11599999999999999,0.076,0.38299999999999995,0.187,0.087,0.384,0.272,0.115,0.4010002942041777,0.30812984211042466,0.16396979503775622,5.0,12989,0.0064518606704999995,0.014055839318,7.68078651e-05,0.0037635853911000003,5472.0,0.128,39420.0,0.161
856,IA,2.0,2.0,0.363,0.109,0.107,0.392,0.166,0.184,0.324,0.272,0.21899999999999997,0.307,0.307,0.249,0.27856037493920505,0.3275677587655304,0.3193969138258832,0.0,171437,0.013387922210999999,0.0081649363942,0.0011171223863,-0.000321684457,88446.0,0.052000000000000005,54959.0,0.122
2116,OK,6.0,6.0,0.17800000000000002,0.04,0.045,0.289,0.075,0.087,0.295,0.171,0.096,0.381,0.188,0.098,0.4197633959638135,0.23646485734168413,0.1290187891440501,3.0,22153,0.013516253295,0.012209682143,0.00013516253289999998,-0.00518123043,8090.0,0.08,31386.0,0.272
1820,NY,3.0,2.0,0.385,0.10099999999999999,0.10099999999999999,0.42,0.142,0.133,0.36700000000000005,0.251,0.154,0.361,0.27399999999999997,0.18600000000000003,0.35419711925369946,0.31078883833987553,0.22922791400463147,0.0,87469,0.010307286695,0.0099777262603,0.0012500568208,-0.013841538249999999,38247.0,0.063,48880.0,0.182
1323,MN,7.0,8.0,0.348,0.102,0.062,0.413,0.14300000000000002,0.095,0.40299999999999997,0.237,0.115,0.377,0.307,0.128,0.3673897192854539,0.3583211811884797,0.15257017863652936,0.0,30789,0.011176804082,0.011986717421,0.0007451202721,-0.004373532032,16300.0,0.043,47203.0,0.125
